# http://www.cl.cam.ac.uk/~mgk25/ucs/keysyms.txt 
# Mapping of X11 keysyms to ISO 10646 / Unicode
#
# The "X11 Window System Protocol" standard (Release 6.4) defines in
# Appendix A the keysym codes. These 29-bit integer values identify
# characters or functions associated with each key (e.g., via the
# visible engraving) of a keyboard layout. In addition, mnemonic macro
# names are provided for the keysyms in the C header file
# <X11/keysymdef.h>. These are compiled (by xc/lib/X11/util/
# makekeys.c) into a hash table that can be accessed with X11 library
# functions such as XStringToKeysym() and XKeysymToString().
#
# The creation of the keysym codes predates ISO 10646 / Unicode, but
# they represent a similar attempt to merge several existing coded
# character sets (mostly early drafts of ISO 8859, as well as some --
# long since forgotten -- DEC font encodings). X.Org and XFree86 have
# agreed that for any future extension of the keysyms with characters
# already found in ISO 10646 / Unicode, the following algorithm will
# be used. The new keysym code position will simply be the character's
# Unicode number plus 0x01000000. The keysym codes in the range
# 0x01000100 0x0110ffff are now reserved to represent Unicode
# characters in the range U0100 to U10FFFF. (Note that the ISO 8859-1
# characters that make up Unicode positions below U0100 are excluded
# from this rule, as they are already covered by the keysyms of the
# same value.)
#
# While most newer Unicode-based X11 clients do already accept
# Unicode-mapped keysyms in the range 0x01000100 to 0x0110ffff, it
# will remain necessary for clients -- in the interest of
# compatibility with existing servers -- to also understand the
# existing keysym values. Clients can use the table below to map the
# pre-Unicode keysym values (0x0100 to 0x20ff) to the corresponding
# Unicode characters for further processing.
#
# The following fields are used in this mapping table:
#
# 1    The hexadecimal X11 keysym number (as defined in Appendix A of
#      the X11 protocol specification and as listed in <X11/keysymdef.h>)
#
# 2    The corresponding Unicode position
#      (U0000 means that there is no equivalent Unicode character)
#
# 3    Status of this keysym and its Unicode mapping
#
#         .  regular -- This is a regular well-established keysym with
#            a straightforward Unicode equivalent (e.g., any keysym
#            derived from ISO 8859). There can be at most one regular
#            keysym associated with each Unicode character.
#
#         d  duplicate -- This keysym has the same Unicode mapping as
#            another one with status 'regular'. It represents a case
#            where keysyms distinguish between several characters that
#            Unicode has unified into a single one (examples are
#            several APL symbols)
#
#         o  obsolete -- While it may be possible to find a Unicode of
#            similar name, the exact semantics of this keysym are
#            unclear, because the font or character set from which it
#            came has never been widely used. Examples are various
#            symbols from the DEC Publishing character set, which may
#            have been used in a special font shipped with the
#            DECwrite product. Where no similar Unicode character
#            can be identified, U0000 is used in column 2.
#
#         f  function -- While it may be possible to find a Unicode
#            of similar name, this keysym differs semantically
#            substantially from the corresponding Unicode character,
#            because it describes a particular function key or will
#            first have to be processed by an input method that will
#            translate it into a proper stream of Unicode characters.
#
#         r  remove -- This is a bogus keysym that was added in error,
#            is not used in any known keyboard layout, and should be
#            removed from both <X11/keysymdef.h> and the standard.
#
#         u  unicode-remap -- This keysym was added rather recently to
#            the <X11/keysymdef.h> of XFree86, but into a number range
#            reserved for future extensions of the standard by
#            X.Org. It is not widely used at present, but its name
#            appears to be sufficiently useful and it should therefore
#            be directly mapped to Unicode in the 0x1xxxxxx range in
#            future versions of <X11/keysymdef.h>. This way, the macro
#            name will be preserved, but the standard will not have to
#            be extended.
#
#      Recommendations for using the keysym status:
#
#        - All keysyms with status regular, duplicate, obsolete and
#          function should be listed in Appendix A of the X11 protocol
#          spec.
#
#        - All keysyms except for those with status remove should be
#          listed in <X11/keysymdef.h>.
#
#        - Keysyms with status duplicate, obsolete, and remove should
#          not be used in future keyboard layouts, as there are other
#          keysyms with status regular, function and unicode-remap
#          that give access to the same Unicode characters.
#
#        - Keysym to Unicode conversion tables in clients should include
#          all mappings except those with status function and those
#          with U0000.
#
# #    comment marker
#
# 4    the name of the X11 keysym macro without the leading XK_,
#      as defined in <X11/keysymdef.h>
#
# The last columns may be followed by comments copied from <X11/keysymdef.h>.
# A keysym may be listed several times, if there are several macro names
# associated with it in <X11/keysymdef.h>.
#
# Author: Markus Kuhn <http://www.cl.cam.ac.uk/~mgk25/>
# Date:   2004-08-08
#
# This table evolved out of an earlier one by Richard Verhoeven, TU Eindhoven.
#
# We begin with the original keysyms found in X11R6.4
#
0x0020   U0020   .   # space
0x00bf   U00bf   .   # questiondown
0x00c0   U00c0   .   # Agrave
0x00c1   U00c1   .   # Aacute
0x00c2   U00c2   .   # Acircumflex
0x00c3   U00c3   .   # Atilde
0x00c4   U00c4   .   # Adiaeresis
0x00c5   U00c5   .   # Aring
0x00c6   U00c6   .   # AE
0x00c7   U00c7   .   # Ccedilla
0x00c8   U00c8   .   # Egrave
0x00c9   U00c9   .   # Eacute
0x00ca   U00ca   .   # Ecircumflex
0x00cb   U00cb   .   # Ediaeresis
0x00cc   U00cc   .   # Igrave
0x00cd   U00cd   .   # Iacute
0x00ce   U00ce   .   # Icircumflex
0x00cf   U00cf   .   # Idiaeresis
0x00d0   U00d0   .   # ETH
0x00d0   U00d0   .   # Eth	/* deprecated */
0x00d1   U00d1   .   # Ntilde
0x00d2   U00d2   .   # Ograve
0x00d3   U00d3   .   # Oacute
0x00d4   U00d4   .   # Ocircumflex
0x00d5   U00d5   .   # Otilde
0x00d6   U00d6   .   # Odiaeresis
0x00d7   U00d7   .   # multiply
0x00d8   U00d8   .   # Ooblique
0x00d9   U00d9   .   # Ugrave
0x00da   U00da   .   # Uacute
0x00db   U00db   .   # Ucircumflex
0x00dc   U00dc   .   # Udiaeresis
0x00dd   U00dd   .   # Yacute
0x00de   U00de   .   # THORN
0x00de   U00de   .   # Thorn	/* deprecated */
0x00df   U00df   .   # ssharp
0x00e0   U00e0   .   # agrave
0x00e1   U00e1   .   # aacute
0x00e2   U00e2   .   # acircumflex
0x00e3   U00e3   .   # atilde
0x00e4   U00e4   .   # adiaeresis
0x00e5   U00e5   .   # aring
0x00e6   U00e6   .   # ae
0x00e7   U00e7   .   # ccedilla
0x00e8   U00e8   .   # egrave
0x00e9   U00e9   .   # eacute
0x00ea   U00ea   .   # ecircumflex
0x00eb   U00eb   .   # ediaeresis
0x00ec   U00ec   .   # igrave
0x00ed   U00ed   .   # iacute
0x00ee   U00ee   .   # icircumflex
0x00ef   U00ef   .   # idiaeresis
0x00f0   U00f0   .   # eth
0x00f1   U00f1   .   # ntilde
0x00f2   U00f2   .   # ograve
0x00f3   U00f3   .   # oacute
0x00f4   U00f4   .   # ocircumflex
0x00f5   U00f5   .   # otilde
0x00f6   U00f6   .   # odiaeresis
0x00f7   U00f7   .   # division
0x00f8   U00f8   .   # oslash
0x00f9   U00f9   .   # ugrave
0x00fa   U00fa   .   # uacute
0x00fb   U00fb   .   # ucircumflex
0x00fc   U00fc   .   # udiaeresis
0x00fd   U00fd   .   # yacute
0x00fe   U00fe   .   # thorn
0x00ff   U00ff   .   # ydiaeresis
0x01a1   U0104   .   # Aogonek
0x01a2   U02d8   .   # breve
0x01a3   U0141   .   # Lstroke
0x01a5   U013d   .   # Lcaron
0x01a6   U015a   .   # Sacute
0x01a9   U0160   .   # Scaron
0x01aa   U015e   .   # Scedilla
0x01ab   U0164   .   # Tcaron
0x01ac   U0179   .   # Zacute
0x01ae   U017d   .   # Zcaron
0x01af   U017b   .   # Zabovedot
0x01b1   U0105   .   # aogonek
0x01b2   U02db   .   # ogonek
0x01b3   U0142   .   # lstroke
0x01b5   U013e   .   # lcaron
0x01b6   U015b   .   # sacute
0x01b7   U02c7   .   # caron
0x01b9   U0161   .   # scaron
0x01ba   U015f   .   # scedilla
0x01bb   U0165   .   # tcaron
0x01bc   U017a   .   # zacute
0x01bd   U02dd   .   # doubleacute
0x01be   U017e   .   # zcaron
0x01bf   U017c   .   # zabovedot
0x01c0   U0154   .   # Racute
0x01c3   U0102   .   # Abreve
0x01c5   U0139   .   # Lacute
0x01c6   U0106   .   # Cacute
0x01c8   U010c   .   # Ccaron
0x01ca   U0118   .   # Eogonek
0x01cc   U011a   .   # Ecaron
0x01cf   U010e   .   # Dcaron
0x01d0   U0110   .   # Dstroke
0x01d1   U0143   .   # Nacute
0x01d2   U0147   .   # Ncaron
0x01d5   U0150   .   # Odoubleacute
0x01d8   U0158   .   # Rcaron
0x01d9   U016e   .   # Uring
0x01db   U0170   .   # Udoubleacute
0x01de   U0162   .   # Tcedilla
0x01e0   U0155   .   # racute
0x01e3   U0103   .   # abreve
0x01e5   U013a   .   # lacute
0x01e6   U0107   .   # cacute
0x01e8   U010d   .   # ccaron
0x01ea   U0119   .   # eogonek
0x01ec   U011b   .   # ecaron
0x01ef   U010f   .   # dcaron
0x01f0   U0111   .   # dstroke
0x01f1   U0144   .   # nacute
0x01f2   U0148   .   # ncaron
0x01f5   U0151   .   # odoubleacute
0x01f8   U0159   .   # rcaron
0x01f9   U016f   .   # uring
0x01fb   U0171   .   # udoubleacute
0x01fe   U0163   .   # tcedilla
0x01ff   U02d9   .   # abovedot
0x02a1   U0126   .   # Hstroke
0x02a6   U0124   .   # Hcircumflex
0x02a9   U0130   .   # Iabovedot
0x02ab   U011e   .   # Gbreve
0x02ac   U0134   .   # Jcircumflex
0x02b1   U0127   .   # hstroke
0x02b6   U0125   .   # hcircumflex
0x02b9   U0131   .   # idotless
0x02bb   U011f   .   # gbreve
0x02bc   U0135   .   # jcircumflex
0x02c5   U010a   .   # Cabovedot
0x02c6   U0108   .   # Ccircumflex
0x02d5   U0120   .   # Gabovedot
0x02d8   U011c   .   # Gcircumflex
0x02dd   U016c   .   # Ubreve
0x02de   U015c   .   # Scircumflex
0x02e5   U010b   .   # cabovedot
0x02e6   U0109   .   # ccircumflex
0x02f5   U0121   .   # gabovedot
0x02f8   U011d   .   # gcircumflex
0x02fd   U016d   .   # ubreve
0x02fe   U015d   .   # scircumflex
0x03a2   U0138   .   # kra
0x03a3   U0156   .   # Rcedilla
0x03a5   U0128   .   # Itilde
0x03a6   U013b   .   # Lcedilla
0x03aa   U0112   .   # Emacron
0x03ab   U0122   .   # Gcedilla
0x03ac   U0166   .   # Tslash
0x03b3   U0157   .   # rcedilla
0x03b5   U0129   .   # itilde
0x03b6   U013c   .   # lcedilla
0x03ba   U0113   .   # emacron
0x03bb   U0123   .   # gcedilla
0x03bc   U0167   .   # tslash
0x03bd   U014a   .   # ENG
0x03bf   U014b   .   # eng
0x03c0   U0100   .   # Amacron
0x03c7   U012e   .   # Iogonek
0x03cc   U0116   .   # Eabovedot
0x03cf   U012a   .   # Imacron
0x03d1   U0145   .   # Ncedilla
0x03d2   U014c   .   # Omacron
0x03d3   U0136   .   # Kcedilla
0x03d9   U0172   .   # Uogonek
0x03dd   U0168   .   # Utilde
0x03de   U016a   .   # Umacron
0x03e0   U0101   .   # amacron
0x03e7   U012f   .   # iogonek
0x03ec   U0117   .   # eabovedot
0x03ef   U012b   .   # imacron
0x03f1   U0146   .   # ncedilla
0x03f2   U014d   .   # omacron
0x03f3   U0137   .   # kcedilla
0x03f9   U0173   .   # uogonek
0x03fd   U0169   .   # utilde
0x03fe   U016b   .   # umacron
0x047e   U203e   .   # overline
0x04a1   U3002   .   # kana_fullstop
0x04a2   U300c   .   # kana_openingbracket
0x04a3   U300d   .   # kana_closingbracket
0x04a4   U3001   .   # kana_comma
0x04a5   U30fb   .   # kana_conjunctive
0x04a6   U30f2   .   # kana_WO
0x04a7   U30a1   .   # kana_a
0x04a8   U30a3   .   # kana_i
0x04a9   U30a5   .   # kana_u
0x04aa   U30a7   .   # kana_e
0x04ab   U30a9   .   # kana_o
0x04ac   U30e3   .   # kana_ya
0x04ad   U30e5   .   # kana_yu
0x04ae   U30e7   .   # kana_yo
0x04af   U30c3   .   # kana_tsu
0x04b0   U30fc   .   # prolongedsound
0x04b1   U30a2   .   # kana_A
0x04b2   U30a4   .   # kana_I
0x04b3   U30a6   .   # kana_U
0x04b4   U30a8   .   # kana_E
0x04b5   U30aa   .   # kana_O
0x04b6   U30ab   .   # kana_KA
0x04b7   U30ad   .   # kana_KI
0x04b8   U30af   .   # kana_KU
0x04b9   U30b1   .   # kana_KE
0x04ba   U30b3   .   # kana_KO
0x04bb   U30b5   .   # kana_SA
0x04bc   U30b7   .   # kana_SHI
0x04bd   U30b9   .   # kana_SU
0x04be   U30bb   .   # kana_SE
0x04bf   U30bd   .   # kana_SO
0x04c0   U30bf   .   # kana_TA
0x04c1   U30c1   .   # kana_CHI
0x04c2   U30c4   .   # kana_TSU
0x04c3   U30c6   .   # kana_TE
0x04c4   U30c8   .   # kana_TO
0x04c5   U30ca   .   # kana_NA
0x04c6   U30cb   .   # kana_NI
0x04c7   U30cc   .   # kana_NU
0x04c8   U30cd   .   # kana_NE
0x04c9   U30ce   .   # kana_NO
0x04ca   U30cf   .   # kana_HA
0x04cb   U30d2   .   # kana_HI
0x04cc   U30d5   .   # kana_FU
0x04cd   U30d8   .   # kana_HE
0x04ce   U30db   .   # kana_HO
0x04cf   U30de   .   # kana_MA
0x04d0   U30df   .   # kana_MI
0x04d1   U30e0   .   # kana_MU
0x04d2   U30e1   .   # kana_ME
0x04d3   U30e2   .   # kana_MO
0x04d4   U30e4   .   # kana_YA
0x04d5   U30e6   .   # kana_YU
0x04d6   U30e8   .   # kana_YO
0x04d7   U30e9   .   # kana_RA
0x04d8   U30ea   .   # kana_RI
0x04d9   U30eb   .   # kana_RU
0x04da   U30ec   .   # kana_RE
0x04db   U30ed   .   # kana_RO
0x04dc   U30ef   .   # kana_WA
0x04dd   U30f3   .   # kana_N
0x04de   U309b   .   # voicedsound
0x04df   U309c   .   # semivoicedsound
0x05ac   U060c   .   # Arabic_comma
0x05bb   U061b   .   # Arabic_semicolon
0x05bf   U061f   .   # Arabic_question_mark
0x05c1   U0621   .   # Arabic_hamza
0x05c2   U0622   .   # Arabic_maddaonalef
0x05c3   U0623   .   # Arabic_hamzaonalef
0x05c4   U0624   .   # Arabic_hamzaonwaw
0x05c5   U0625   .   # Arabic_hamzaunderalef
0x05c6   U0626   .   # Arabic_hamzaonyeh
0x05c7   U0627   .   # Arabic_alef
0x05c8   U0628   .   # Arabic_beh
0x05c9   U0629   .   # Arabic_tehmarbuta
0x05ca   U062a   .   # Arabic_teh
0x05cb   U062b   .   # Arabic_theh
0x05cc   U062c   .   # Arabic_jeem
0x05cd   U062d   .   # Arabic_hah
0x05ce   U062e   .   # Arabic_khah
0x05cf   U062f   .   # Arabic_dal
0x05d0   U0630   .   # Arabic_thal
0x05d1   U0631   .   # Arabic_ra
0x05d2   U0632   .   # Arabic_zain
0x05d3   U0633   .   # Arabic_seen
0x05d4   U0634   .   # Arabic_sheen
0x05d5   U0635   .   # Arabic_sad
0x05d6   U0636   .   # Arabic_dad
0x05d7   U0637   .   # Arabic_tah
0x05d8   U0638   .   # Arabic_zah
0x05d9   U0639   .   # Arabic_ain
0x05da   U063a   .   # Arabic_ghain
0x05e0   U0640   .   # Arabic_tatweel
0x05e1   U0641   .   # Arabic_feh
0x05e2   U0642   .   # Arabic_qaf
0x05e3   U0643   .   # Arabic_kaf
0x05e4   U0644   .   # Arabic_lam
0x05e5   U0645   .   # Arabic_meem
0x05e6   U0646   .   # Arabic_noon
0x05e7   U0647   .   # Arabic_ha
0x05e8   U0648   .   # Arabic_waw
0x05e9   U0649   .   # Arabic_alefmaksura
0x05ea   U064a   .   # Arabic_yeh
0x05eb   U064b   .   # Arabic_fathatan
0x05ec   U064c   .   # Arabic_dammatan
0x05ed   U064d   .   # Arabic_kasratan
0x05ee   U064e   .   # Arabic_fatha
0x05ef   U064f   .   # Arabic_damma
0x05f0   U0650   .   # Arabic_kasra
0x05f1   U0651   .   # Arabic_shadda
0x05f2   U0652   .   # Arabic_sukun
0x06a1   U0452   .   # Serbian_dje
0x06a2   U0453   .   # Macedonia_gje
0x06a3   U0451   .   # Cyrillic_io
0x06a4   U0454   .   # Ukrainian_ie
0x06a5   U0455   .   # Macedonia_dse
0x06a6   U0456   .   # Ukrainian_i
0x06a7   U0457   .   # Ukrainian_yi
0x06a8   U0458   .   # Cyrillic_je
0x06a9   U0459   .   # Cyrillic_lje
0x06aa   U045a   .   # Cyrillic_nje
0x06ab   U045b   .   # Serbian_tshe
0x06ac   U045c   .   # Macedonia_kje
0x06ae   U045e   .   # Byelorussian_shortu
0x06af   U045f   .   # Cyrillic_dzhe
0x06b0   U2116   .   # numerosign
0x06b1   U0402   .   # Serbian_DJE
0x06b2   U0403   .   # Macedonia_GJE
0x06b3   U0401   .   # Cyrillic_IO
0x06b4   U0404   .   # Ukrainian_IE
0x06b5   U0405   .   # Macedonia_DSE
0x06b6   U0406   .   # Ukrainian_I
0x06b7   U0407   .   # Ukrainian_YI
0x06b8   U0408   .   # Cyrillic_JE
0x06b9   U0409   .   # Cyrillic_LJE
0x06ba   U040a   .   # Cyrillic_NJE
0x06bb   U040b   .   # Serbian_TSHE
0x06bc   U040c   .   # Macedonia_KJE
0x06be   U040e   .   # Byelorussian_SHORTU
0x06bf   U040f   .   # Cyrillic_DZHE
0x06c0   U044e   .   # Cyrillic_yu
0x06c1   U0430   .   # Cyrillic_a
0x06c2   U0431   .   # Cyrillic_be
0x06c3   U0446   .   # Cyrillic_tse
0x06c4   U0434   .   # Cyrillic_de
0x06c5   U0435   .   # Cyrillic_ie
0x06c6   U0444   .   # Cyrillic_ef
0x06c7   U0433   .   # Cyrillic_ghe
0x06c8   U0445   .   # Cyrillic_ha
0x06c9   U0438   .   # Cyrillic_i
0x06ca   U0439   .   # Cyrillic_shorti
0x06cb   U043a   .   # Cyrillic_ka
0x06cc   U043b   .   # Cyrillic_el
0x06cd   U043c   .   # Cyrillic_em
0x06ce   U043d   .   # Cyrillic_en
0x06cf   U043e   .   # Cyrillic_o
0x06d0   U043f   .   # Cyrillic_pe
0x06d1   U044f   .   # Cyrillic_ya
0x06d2   U0440   .   # Cyrillic_er
0x06d3   U0441   .   # Cyrillic_es
0x06d4   U0442   .   # Cyrillic_te
0x06d5   U0443   .   # Cyrillic_u
0x06d6   U0436   .   # Cyrillic_zhe
0x06d7   U0432   .   # Cyrillic_ve
0x06d8   U044c   .   # Cyrillic_softsign
0x06d9   U044b   .   # Cyrillic_yeru
0x06da   U0437   .   # Cyrillic_ze
0x06db   U0448   .   # Cyrillic_sha
0x06dc   U044d   .   # Cyrillic_e
0x06dd   U0449   .   # Cyrillic_shcha
0x06de   U0447   .   # Cyrillic_che
0x06df   U044a   .   # Cyrillic_hardsign
0x06e0   U042e   .   # Cyrillic_YU
0x06e1   U0410   .   # Cyrillic_A
0x06e2   U0411   .   # Cyrillic_BE
0x06e3   U0426   .   # Cyrillic_TSE
0x06e4   U0414   .   # Cyrillic_DE
0x06e5   U0415   .   # Cyrillic_IE
0x06e6   U0424   .   # Cyrillic_EF
0x06e7   U0413   .   # Cyrillic_GHE
0x06e8   U0425   .   # Cyrillic_HA
0x06e9   U0418   .   # Cyrillic_I
0x06ea   U0419   .   # Cyrillic_SHORTI
0x06eb   U041a   .   # Cyrillic_KA
0x06ec   U041b   .   # Cyrillic_EL
0x06ed   U041c   .   # Cyrillic_EM
0x06ee   U041d   .   # Cyrillic_EN
0x06ef   U041e   .   # Cyrillic_O
0x06f0   U041f   .   # Cyrillic_PE
0x06f1   U042f   .   # Cyrillic_YA
0x06f2   U0420   .   # Cyrillic_ER
0x06f3   U0421   .   # Cyrillic_ES
0x06f4   U0422   .   # Cyrillic_TE
0x06f5   U0423   .   # Cyrillic_U
0x06f6   U0416   .   # Cyrillic_ZHE
0x06f7   U0412   .   # Cyrillic_VE
0x06f8   U042c   .   # Cyrillic_SOFTSIGN
0x06f9   U042b   .   # Cyrillic_YERU
0x06fa   U0417   .   # Cyrillic_ZE
0x06fb   U0428   .   # Cyrillic_SHA
0x06fc   U042d   .   # Cyrillic_E
0x06fd   U0429   .   # Cyrillic_SHCHA
